iter	Passed	Remaining
0	67	33605
1	115	28712
2	160	26664
3	205	25463
4	250	24804
5	295	24317
6	338	23835
7	385	23715
8	428	23360
9	478	23454
10	518	23056
11	559	22743
12	597	22398
13	639	22205
14	683	22098
15	728	22032
16	771	21924
17	814	21813
18	856	21683
19	894	21459
20	930	21226
21	976	21214
22	1025	21272
23	1074	21315
24	1122	21322
25	1172	21371
26	1221	21403
27	1270	21425
28	1318	21413
29	1373	21515
30	1421	21503
31	1467	21460
32	1510	21374
33	1554	21299
34	1598	21235
35	1640	21142
36	1685	21096
37	1730	21037
38	1775	20985
39	1823	20974
40	1870	20936
41	1908	20816
42	1952	20755
43	1998	20708
44	2047	20700
45	2093	20663
46	2139	20620
47	2187	20601
48	2233	20557
49	2282	20546
50	2330	20521
51	2392	20612
52	2457	20724
53	2524	20847
54	2580	20878
55	2642	20947
56	2704	21020
57	2765	21073
58	2827	21134
59	2888	21183
60	2960	21309
61	3029	21403
62	3091	21446
63	3156	21503
64	3217	21532
65	3281	21576
66	3342	21602
67	3407	21645
68	3472	21692
69	3536	21723
70	3597	21735
71	3658	21747
72	3719	21758
73	3777	21747
74	3836	21740
75	3897	21743
76	3963	21771
77	4024	21771
78	4083	21764
79	4145	21766
80	4208	21768
81	4273	21784
82	4338	21796
83	4399	21788
84	4462	21788
85	4526	21788
86	4585	21769
87	4653	21787
88	4717	21786
89	4779	21774
90	4841	21759
91	4909	21773
92	4986	21822
93	5098	22019
94	5253	22394
95	5354	22533
96	5427	22547
97	5484	22499
98	5540	22442
99	5609	22438
100	5730	22638
101	5842	22798
102	6000	23126
103	6156	23440
104	6311	23744
105	6472	24059
106	6635	24372
107	6771	24578
108	6896	24738
109	7060	25032
110	7220	25302
111	7375	25552
112	7538	25818
113	7692	26045
114	7809	26145
115	7957	26342
116	8087	26475
117	8223	26623
118	8389	26860
119	8551	27079
120	8699	27248
121	8786	27223
122	8920	27343
123	9084	27546
124	9248	27746
125	9412	27938
126	9575	28123
127	9725	28264
128	9865	28374
129	10016	28509
130	10113	28486
131	10271	28634
132	10428	28775
133	10587	28917
134	10696	28919
135	10764	28810
136	10832	28702
137	10913	28626
138	11046	28690
139	11204	28811
140	11347	28891
141	11473	28926
142	11612	28991
143	11713	28957
144	11840	28989
145	11965	29013
146	12085	29022
147	12226	29078
148	12330	29046
149	12454	29060
150	12590	29100
151	12705	29089
152	12830	29099
153	12984	29172
154	13147	29263
155	13304	29338
156	13450	29385
157	13587	29410
158	13677	29332
159	13754	29229
160	13836	29134
161	13925	29054
162	14041	29029
163	14163	29017
164	14321	29076
165	14478	29131
166	14623	29159
167	14733	29115
168	14850	29085
169	15006	29129
170	15126	29103
171	15221	29026
172	15352	29018
173	15496	29032
174	15626	29021
175	15729	28956
176	15818	28866
177	15922	28804
178	16029	28746
179	16160	28729
180	16298	28725
181	16442	28729
182	16592	28742
183	16697	28675
184	16777	28566
185	16915	28556
186	17076	28582
187	17221	28580
188	17368	28579
189	17502	28556
190	17630	28521
191	17750	28475
192	17884	28449
193	18045	28463
194	18151	28391
195	18273	28342
196	18431	28349
197	18572	28327
198	18687	28265
199	18779	28169
200	18902	28118
201	19031	28076
202	19197	28087
203	19356	28085
204	19518	28087
205	19633	28019
206	19722	27915
207	19807	27806
208	19896	27702
209	19980	27592
210	20097	27526
211	20194	27434
212	20297	27349
213	20408	27274
214	20563	27258
215	20652	27154
216	20735	27041
217	20862	26987
218	20983	26923
219	21110	26867
220	21229	26801
221	21363	26752
222	21524	26736
223	21647	26672
224	21743	26574
225	21903	26555
226	22063	26534
227	22218	26506
228	22346	26445
229	22495	26407
230	22612	26332
231	22692	26213
232	22776	26099
233	22859	25986
234	22940	25869
235	23019	25750
236	23102	25636
237	23190	25528
238	23331	25479
239	23489	25447
240	23633	25398
241	23775	25347
242	23936	25315
243	24096	25281
244	24256	25246
245	24414	25208
246	24565	25162
247	24708	25107
248	24872	25072
249	25029	25029
250	25174	24974
251	25332	24930
252	25454	24851
253	25510	24706
254	25560	24557
255	25619	24418
